Date,Sigma11_M1,Sigma22_M1,Sigma12_M1,rho_M1,VaR_M1,ES_M1,Sigma11_M2,Sigma22_M2,Sigma12_M2,rho_M2,VaR_M2,ES_M2,Sigma11_M3,Sigma22_M3,Sigma12_M3,rho_M3,VaR_M3,ES_M3,rho_M3_copula,nu_M3,converged_M3
2016-10-28,0.0005961190325646175,0.0003545069211212005,0.00029323553682275664,0.637878181616036,303022.8232808671,469985.6211551863,0.0005905478266527988,0.0003511937723256753,0.00029049501778703,0.637878181616036,317899.24155769846,434404.2461003453,0.0005800556681098991,0.00034918504011202146,0.0003225730829971488,0.716746321801804,312770.50294877694,428020.5359392347,0.717182591934163,8.60561459778305,True
2016-10-31,0.0006000705952761655,0.00035661032829654256,0.00029454615161753344,0.6367298663051053,311262.80070360086,475463.4867053529,0.0005944095519245034,0.00035324607991638643,0.0002917674143381227,0.6367298663051052,317899.24155769846,434168.0517191479,0.0005823866384760413,0.0003529423446746571,0.00032350468058655886,0.713547656422936,317008.7473923422,430908.71217422764,0.7151974042527343,8.690660102665694,True
2016-11-01,0.0006000705952761655,0.00035661032829654256,0.00029454615161753344,0.6367298663051053,311262.80070360086,475463.4867053529,0.0005944095519245034,0.00035324607991638643,0.0002917674143381227,0.6367298663051052,317899.24155769846,434168.0517191479,0.0005823866384760413,0.0003529423446746571,0.00032350468058655886,0.713547656422936,317008.7473923422,430908.71217422764,0.7151974042527343,8.690660102665694,True
2016-11-02,0.0006000705952761655,0.00035661032829654256,0.00029454615161753344,0.6367298663051053,311262.80070360086,475463.4867053529,0.0005944095519245034,0.00035324607991638643,0.0002917674143381227,0.6367298663051052,317899.24155769846,434168.0517191479,0.0005823866384760413,0.0003529423446746571,0.00032350468058655886,0.713547656422936,317008.7473923422,430908.71217422764,0.7151974042527343,8.690660102665694,True
2016-11-03,0.0006000705952761655,0.00035661032829654256,0.00029454615161753344,0.6367298663051053,311262.80070360086,475463.4867053529,0.0005944095519245034,0.00035324607991638643,0.0002917674143381227,0.6367298663051052,317899.24155769846,434168.0517191479,0.0005823866384760413,0.0003529423446746571,0.00032350468058655886,0.713547656422936,317008.7473923422,430908.71217422764,0.7151974042527343,8.690660102665694,True
2016-11-04,0.0006078179301024005,0.00035720322389108124,0.00029905156720013034,0.6418028541851761,317012.3307387063,478760.37742762465,0.0006021373886995745,0.00035386487600424864,0.00029625669274031607,0.6418028541851761,317899.24155769846,434404.2461003453,0.0005899737081342305,0.0003535371893148745,0.0003274325029033681,0.716948410853819,316931.2740854616,430727.7788077622,0.7186126109548382,8.666671879293744,True
2016-11-07,0.0006032091680798157,0.0003458020268105605,0.0002894934034257463,0.6338564850824201,304933.75089217455,471979.93078983657,0.0005975185155507607,0.00034253974353876267,0.0002867623335821072,0.6338564850824203,317899.24155769846,433680.82156841666,0.0005790113452842772,0.0003440439215225201,0.00031539809449574054,0.7066568673265107,318027.0826555297,430764.79292596556,0.7111257584240065,8.78704435215954,True
2016-11-08,0.0006032091680798157,0.0003458020268105605,0.0002894934034257463,0.6338564850824201,304933.75089217455,471979.93078983657,0.0005975185155507607,0.00034253974353876267,0.0002867623335821072,0.6338564850824203,317899.24155769846,433680.82156841666,0.0005790113452842772,0.0003440439215225201,0.00031539809449574054,0.7066568673265107,318027.0826555297,430764.79292596556,0.7111257584240065,8.78704435215954,True
2016-11-09,0.0006032091680798157,0.0003458020268105605,0.0002894934034257463,0.6338564850824201,304933.75089217455,471979.93078983657,0.0005975185155507607,0.00034253974353876267,0.0002867623335821072,0.6338564850824203,317899.24155769846,433680.82156841666,0.0005790113452842772,0.0003440439215225201,0.00031539809449574054,0.7066568673265107,318027.0826555297,430764.79292596556,0.7111257584240065,8.78704435215954,True
2016-11-10,0.0006032091680798157,0.0003458020268105605,0.0002894934034257463,0.6338564850824201,304933.75089217455,471979.93078983657,0.0005975185155507607,0.00034253974353876267,0.0002867623335821072,0.6338564850824203,317899.24155769846,433680.82156841666,0.0005790113452842772,0.0003440439215225201,0.00031539809449574054,0.7066568673265107,318027.0826555297,430764.79292596556,0.7111257584240065,8.78704435215954,True
2016-11-11,0.0006069817704898857,0.00035533758066687987,0.0002977672958906645,0.6411632216010373,307987.25297413004,468009.0792410303,0.0006013090436628773,0.0003520166686980304,0.00029498442396645264,0.6411632216010374,317899.24155769846,434051.70509449556,0.0005891516992045374,0.0003516941364220393,0.0003261607343665682,0.7165319250827595,316931.2740854616,430787.5556218375,0.7182062526535256,8.647467682442489,True
2016-11-14,0.0006020524647988154,0.00035236158734816325,0.00029234982050013774,0.6347334461207226,311950.6403204854,478293.6163888502,0.0005963727245648642,0.0003490374214297843,0.0002895918033256081,0.6347334461207226,317899.24155769846,433893.4644471235,0.0005779362000231239,0.0003505543385231033,0.0003183350792366596,0.7072400993886089,317757.3189749044,430740.6950194211,0.7116765082490172,8.855123452649453,True
2016-11-15,0.0006020524647988154,0.00035236158734816325,0.00029234982050013774,0.6347334461207226,311950.6403204854,478293.6163888502,0.0005963727245648642,0.0003490374214297843,0.0002895918033256081,0.6347334461207226,317899.24155769846,433893.4644471235,0.0005779362000231239,0.0003505543385231033,0.0003183350792366596,0.7072400993886089,317757.3189749044,430740.6950194211,0.7116765082490172,8.855123452649453,True
2016-11-16,0.0006020524647988154,0.00035236158734816325,0.00029234982050013774,0.6347334461207226,311950.6403204854,478293.6163888502,0.0005963727245648642,0.0003490374214297843,0.0002895918033256081,0.6347334461207226,317899.24155769846,433893.4644471235,0.0005779362000231239,0.0003505543385231033,0.0003183350792366596,0.7072400993886089,317757.3189749044,430740.6950194211,0.7116765082490172,8.855123452649453,True
2016-11-17,0.0006020524647988154,0.00035236158734816325,0.00029234982050013774,0.6347334461207226,311950.6403204854,478293.6163888502,0.0005963727245648642,0.0003490374214297843,0.0002895918033256081,0.6347334461207226,317899.24155769846,433893.4644471235,0.0005779362000231239,0.0003505543385231033,0.0003183350792366596,0.7072400993886089,317757.3189749044,430740.6950194211,0.7116765082490172,8.855123452649453,True
2016-11-18,0.000596657039738455,0.0003496107770965368,0.00028999555289640913,0.634945643298774,304788.66641753505,474274.57840866066,0.000591080805722208,0.0003463433866563823,0.00028728531408429327,0.634945643298774,317899.24155769846,433864.012478575,0.000572808052520352,0.00034784367451397454,0.00031605399346132005,0.7080512107578113,317757.3189749044,430687.8766126332,0.7124881202232081,8.828002023702888,True
2016-11-21,0.0006023106475201954,0.0003525272871664237,0.0002928665682503851,0.6355696618342446,309121.24632659706,471964.26714376,0.0005966284716001937,0.00034920155804221215,0.00029010367609707963,0.6355696618342448,317899.24155769846,433893.4644471235,0.0005781815084964163,0.0003507119617440954,0.00031908509480891884,0.708596706655748,316916.43652096484,430418.1972029598,0.7130367120323977,8.8024258269329,True
2016-11-22,0.0006023106475201954,0.0003525272871664237,0.0002928665682503851,0.6355696618342446,309121.24632659706,471964.26714376,0.0005966284716001937,0.00034920155804221215,0.00029010367609707963,0.6355696618342448,317899.24155769846,433893.4644471235,0.0005781815084964163,0.0003507119617440954,0.00031908509480891884,0.708596706655748,316916.43652096484,430418.1972029598,0.7130367120323977,8.8024258269329,True
2016-11-23,0.0006023106475201954,0.0003525272871664237,0.0002928665682503851,0.6355696618342446,309121.24632659706,471964.26714376,0.0005966284716001937,0.00034920155804221215,0.00029010367609707963,0.6355696618342448,317899.24155769846,433893.4644471235,0.0005781815084964163,0.0003507119617440954,0.00031908509480891884,0.708596706655748,316916.43652096484,430418.1972029598,0.7130367120323977,8.8024258269329,True
2016-11-25,0.0005966778951071193,0.0003508650285690315,0.00028981694530504104,0.6334083124181665,318548.40836157487,472030.5100305566,0.0005911014661808847,0.00034758591615249856,0.000287108375722751,0.6334083124181664,317899.24155769846,433864.012478575,0.0005911014661808847,0.00034758591615249856,0.000287108375722751,0.6334083124181664,317899.24155769846,433864.012478575,0.6334083124181664,,False
2016-11-28,0.0005966778951071193,0.0003508650285690315,0.00028981694530504104,0.6334083124181665,318548.40836157487,472030.5100305566,0.0005911014661808847,0.00034758591615249856,0.000287108375722751,0.6334083124181664,317899.24155769846,433864.012478575,0.0005911014661808847,0.00034758591615249856,0.000287108375722751,0.6334083124181664,317899.24155769846,433864.012478575,0.6334083124181664,,False
2016-11-29,0.0006012829239539163,0.000354106710195667,0.0002922490162758424,0.6333540391040926,309225.769441971,477051.6549176265,0.0005956104435392568,0.00035076608085419847,0.0002894919500845609,0.6333540391040926,317899.24155769846,433864.012478575,0.0005771853600569491,0.00035230750174520935,0.00031798447991197593,0.7051594408404198,317757.3189749044,430675.93566265673,0.7096056973708618,8.894687926628015,True
2016-11-30,0.0006012829239539163,0.000354106710195667,0.0002922490162758424,0.6333540391040926,309225.769441971,477051.6549176265,0.0005956104435392568,0.00035076608085419847,0.0002894919500845609,0.6333540391040926,317899.24155769846,433864.012478575,0.0005771853600569491,0.00035230750174520935,0.00031798447991197593,0.7051594408404198,317757.3189749044,430675.93566265673,0.7096056973708618,8.894687926628015,True
2016-12-01,0.0006012829239539163,0.000354106710195667,0.0002922490162758424,0.6333540391040926,309225.769441971,477051.6549176265,0.0005956104435392568,0.00035076608085419847,0.0002894919500845609,0.6333540391040926,317899.24155769846,433864.012478575,0.0005771853600569491,0.00035230750174520935,0.00031798447991197593,0.7051594408404198,317757.3189749044,430675.93566265673,0.7096056973708618,8.894687926628015,True
2016-12-02,0.0005968842374569333,0.00035175278172349625,0.0002906130448913805,0.6342365694528834,312148.27411613875,479746.84723996185,0.0005913058800975229,0.0003484653725485104,0.00028789703512604054,0.6342365694528833,317899.24155769846,433784.30629305623,0.0005730065555671142,0.0003499888035057518,0.000316550526820003,0.7068644977865195,317757.3189749044,430687.87661263323,0.7113188483806868,8.819052721972154,True
